epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2768.01,0.79953,0.62847,0.86749,0.73487,0.67655,0.70314,0.47997,0.92882,0.9181,0.88113,0.000214436,0.000214436,0.000214436
43,2833.14,0.81129,0.63013,0.86582,0.77474,0.66636,0.71666,0.48829,0.94587,0.90871,0.89071,0.000213422,0.000213422,0.000213422
44,2898.48,0.81171,0.61838,0.86548,0.72682,0.67281,0.70362,0.48409,0.95912,0.94186,0.88362,0.000212408,0.000212408,0.000212408
45,2963.8,0.82787,0.63509,0.8657,0.76438,0.66818,0.71894,0.4898,0.94853,0.92472,0.88595,0.000211395,0.000211395,0.000211395
46,3029.14,0.79338,0.59657,0.86408,0.7246,0.69334,0.71928,0.49062,0.95127,0.9304,0.88296,0.000210381,0.000210381,0.000210381
47,3094.35,0.79955,0.61351,0.85847,0.71116,0.68344,0.69964,0.47809,0.94368,0.94722,0.88325,0.000209367,0.000209367,0.000209367
48,3159.27,0.79101,0.60515,0.86137,0.74579,0.67934,0.71972,0.49109,0.96323,0.92461,0.8914,0.000208353,0.000208353,0.000208353
49,3224.64,0.79685,0.6019,0.86228,0.77394,0.66467,0.71927,0.4869,0.9596,0.92428,0.88093,0.00020734,0.00020734,0.00020734
50,3289.81,0.79291,0.60079,0.86083,0.74181,0.68533,0.72172,0.49715,0.95422,0.93294,0.89193,0.000206326,0.000206326,0.000206326
51,3355.16,0.7973,0.60241,0.86238,0.76105,0.66701,0.71733,0.49108,0.9413,0.93818,0.88267,0.000205312,0.000205312,0.000205312
52,3420.48,0.77848,0.59213,0.8607,0.74136,0.67769,0.71546,0.4966,0.93353,0.91841,0.89129,0.000204298,0.000204298,0.000204298
53,3485.51,0.77085,0.57769,0.85618,0.77127,0.66504,0.72109,0.49767,0.93408,0.92411,0.88115,0.000203284,0.000203284,0.000203284
54,3550.81,0.78852,0.5905,0.85354,0.77765,0.68116,0.73272,0.49824,0.94763,0.89291,0.88076,0.000202271,0.000202271,0.000202271
55,3616.26,0.77185,0.56563,0.85346,0.78349,0.67692,0.73306,0.50763,0.93645,0.90058,0.88335,0.000201257,0.000201257,0.000201257
56,3681.36,0.7604,0.55997,0.8534,0.74492,0.71403,0.7266,0.49612,0.93393,0.91885,0.88479,0.000200243,0.000200243,0.000200243
57,3746.62,0.76639,0.56199,0.85257,0.76893,0.69817,0.73554,0.50689,0.9267,0.91636,0.88437,0.000199229,0.000199229,0.000199229
58,3811.74,0.76994,0.56816,0.85176,0.78136,0.69422,0.73711,0.50354,0.93514,0.90803,0.88463,0.000198216,0.000198216,0.000198216
59,3876.92,0.76864,0.56609,0.85446,0.78893,0.68621,0.7375,0.5053,0.94051,0.91262,0.88841,0.000197202,0.000197202,0.000197202
60,3941.94,0.7612,0.55323,0.85217,0.76241,0.69684,0.73451,0.50323,0.93291,0.9544,0.88094,0.000196188,0.000196188,0.000196188
61,4007.08,0.76142,0.55381,0.85092,0.76936,0.69053,0.73061,0.49698,0.93429,0.96381,0.88937,0.000195174,0.000195174,0.000195174
62,4072.06,0.75484,0.55468,0.85184,0.74757,0.69527,0.72911,0.49662,0.94159,0.96134,0.88665,0.000194161,0.000194161,0.000194161
63,4136.97,0.75664,0.55216,0.84628,0.7766,0.69334,0.73244,0.50089,0.93676,0.92439,0.88157,0.000193147,0.000193147,0.000193147
64,4202.17,0.76293,0.55517,0.85072,0.74808,0.70443,0.72901,0.49715,0.93754,0.94709,0.88023,0.000192133,0.000192133,0.000192133
65,4267.19,0.74733,0.53927,0.84577,0.76352,0.68579,0.72806,0.50645,0.92167,0.93085,0.88125,0.000191119,0.000191119,0.000191119
66,4332.61,0.76464,0.5529,0.84852,0.74278,0.70356,0.72688,0.50364,0.92849,0.94465,0.87879,0.000190106,0.000190106,0.000190106
67,4397.45,0.75009,0.53445,0.85165,0.79274,0.67785,0.73177,0.50634,0.92573,0.92993,0.88554,0.000189092,0.000189092,0.000189092
68,4462.81,0.74881,0.53834,0.84362,0.7965,0.67961,0.73413,0.50612,0.93473,0.91979,0.88247,0.000188078,0.000188078,0.000188078
69,4527.76,0.74498,0.53574,0.84639,0.76356,0.70305,0.73647,0.5081,0.92959,0.91245,0.87784,0.000187064,0.000187064,0.000187064
70,4592.84,0.73338,0.52372,0.84547,0.79978,0.6989,0.75246,0.51686,0.91719,0.89971,0.87624,0.000186051,0.000186051,0.000186051
71,4658.25,0.73681,0.52216,0.84483,0.77883,0.70582,0.74403,0.50602,0.92892,0.88794,0.88154,0.000185037,0.000185037,0.000185037
72,4723.47,0.72703,0.51412,0.84223,0.79332,0.68841,0.74816,0.51468,0.90471,0.86437,0.86987,0.000184023,0.000184023,0.000184023
73,4788.8,0.74165,0.52003,0.84044,0.77218,0.71454,0.74673,0.51685,0.91648,0.90918,0.87944,0.000183009,0.000183009,0.000183009
74,4853.95,0.72564,0.50778,0.8406,0.81055,0.6958,0.74959,0.51406,0.91806,0.89621,0.88081,0.000181996,0.000181996,0.000181996
75,4918.96,0.72849,0.50766,0.84013,0.76957,0.71313,0.74389,0.51309,0.91539,0.92699,0.87936,0.000180982,0.000180982,0.000180982
76,4983.88,0.72691,0.51221,0.84351,0.81023,0.68871,0.75353,0.51861,0.91898,0.89985,0.87772,0.000179968,0.000179968,0.000179968
77,5049,0.72747,0.51968,0.84179,0.78767,0.70083,0.74868,0.51366,0.91835,0.87911,0.87073,0.000178954,0.000178954,0.000178954
78,5114.36,0.72384,0.51124,0.84337,0.79163,0.70741,0.74769,0.51698,0.91284,0.89721,0.87783,0.00017794,0.00017794,0.00017794
79,5179.59,0.72998,0.51023,0.84279,0.79641,0.69525,0.74611,0.5092,0.91688,0.91152,0.87591,0.000176927,0.000176927,0.000176927
80,5244.95,0.72918,0.5105,0.83762,0.80263,0.69347,0.75603,0.52305,0.89604,0.89673,0.87277,0.000175913,0.000175913,0.000175913
81,5310.24,0.71522,0.49991,0.83962,0.80186,0.70165,0.754,0.52115,0.91882,0.90632,0.87649,0.000174899,0.000174899,0.000174899
82,5375.22,0.71334,0.4949,0.84188,0.79646,0.69847,0.74481,0.51342,0.91796,0.90192,0.88116,0.000173885,0.000173885,0.000173885
83,5440.05,0.71412,0.48814,0.84017,0.79154,0.69141,0.74406,0.51833,0.89709,0.91802,0.87584,0.000172872,0.000172872,0.000172872
84,5504.99,0.70336,0.48708,0.83657,0.78991,0.71023,0.7518,0.52117,0.91785,0.89021,0.8737,0.000171858,0.000171858,0.000171858
85,5569.98,0.69935,0.48501,0.84012,0.76227,0.71244,0.74462,0.51247,0.92766,0.91182,0.88106,0.000170844,0.000170844,0.000170844
86,5635.13,0.71348,0.49356,0.83717,0.77278,0.71553,0.74874,0.51189,0.91308,0.89831,0.87859,0.00016983,0.00016983,0.00016983
87,5700.43,0.71319,0.49327,0.83728,0.80711,0.71161,0.75551,0.51964,0.91198,0.90369,0.87296,0.000168817,0.000168817,0.000168817
88,5765.64,0.70405,0.48336,0.83565,0.78342,0.71464,0.75396,0.51509,0.91383,0.89587,0.88118,0.000167803,0.000167803,0.000167803
89,5830.53,0.70112,0.48333,0.83668,0.77659,0.72355,0.75458,0.51986,0.90142,0.87656,0.86801,0.000166789,0.000166789,0.000166789
90,5895.74,0.70356,0.48276,0.83474,0.78987,0.71317,0.75345,0.51903,0.91393,0.88913,0.87124,0.000165775,0.000165775,0.000165775
91,5960.73,0.69459,0.47633,0.83461,0.79087,0.70915,0.75094,0.5157,0.92156,0.9045,0.8803,0.000164762,0.000164762,0.000164762
92,6025.47,0.69126,0.47345,0.83153,0.78369,0.70914,0.75264,0.52199,0.91343,0.91183,0.87907,0.000163748,0.000163748,0.000163748
93,6090.52,0.69092,0.47429,0.83582,0.7782,0.72481,0.75597,0.51697,0.91523,0.90478,0.87592,0.000162734,0.000162734,0.000162734
94,6155.89,0.70335,0.47854,0.83653,0.80418,0.69387,0.7583,0.52329,0.90033,0.90669,0.87664,0.00016172,0.00016172,0.00016172
95,6221.25,0.69472,0.47054,0.83356,0.80911,0.69455,0.75026,0.51961,0.91464,0.91463,0.88661,0.000160707,0.000160707,0.000160707
96,6286.11,0.69681,0.47699,0.83678,0.79597,0.72142,0.75906,0.52455,0.90591,0.8956,0.87206,0.000159693,0.000159693,0.000159693
97,6351.87,0.6991,0.47592,0.83431,0.82132,0.69933,0.76002,0.52642,0.91629,0.89287,0.88045,0.000158679,0.000158679,0.000158679
98,6417.35,0.68891,0.46561,0.83191,0.77973,0.72061,0.75222,0.51758,0.9072,0.90109,0.87434,0.000157665,0.000157665,0.000157665
99,6482.56,0.69005,0.46057,0.8313,0.80903,0.71404,0.76032,0.52593,0.90197,0.87566,0.87684,0.000156652,0.000156652,0.000156652
100,6547.9,0.67732,0.46192,0.83471,0.80783,0.71605,0.76222,0.52857,0.89757,0.86717,0.87039,0.000155638,0.000155638,0.000155638
101,6613.35,0.69219,0.46363,0.83587,0.81363,0.7136,0.76799,0.52823,0.91124,0.87256,0.88111,0.000154624,0.000154624,0.000154624
102,6678.91,0.68336,0.45753,0.82965,0.8289,0.70456,0.76677,0.53163,0.90015,0.87086,0.86942,0.00015361,0.00015361,0.00015361
103,6744.34,0.67421,0.45275,0.83081,0.80475,0.7198,0.76617,0.52616,0.91663,0.89613,0.88033,0.000152596,0.000152596,0.000152596
104,6809.28,0.68176,0.45496,0.83136,0.81956,0.70669,0.76682,0.53157,0.91334,0.88478,0.88024,0.000151583,0.000151583,0.000151583
105,6874.53,0.66688,0.44616,0.82933,0.83393,0.69858,0.76755,0.52813,0.90318,0.86648,0.87652,0.000150569,0.000150569,0.000150569
106,6940.02,0.67213,0.45302,0.83008,0.81995,0.72005,0.77145,0.53558,0.9129,0.87245,0.8796,0.000149555,0.000149555,0.000149555
107,7005.54,0.66369,0.45328,0.82731,0.83195,0.70618,0.76395,0.53129,0.9019,0.88843,0.87067,0.000148541,0.000148541,0.000148541
108,7070.5,0.66199,0.44685,0.8261,0.82035,0.72878,0.7756,0.53926,0.89138,0.8565,0.87131,0.000147528,0.000147528,0.000147528
109,7135.75,0.66684,0.45318,0.8283,0.8076,0.71926,0.77148,0.53407,0.90262,0.86526,0.87027,0.000146514,0.000146514,0.000146514
110,7200.82,0.65821,0.44594,0.82801,0.81457,0.71015,0.77278,0.53994,0.88373,0.84923,0.86887,0.0001455,0.0001455,0.0001455
111,7266.3,0.67162,0.44796,0.83009,0.80675,0.72135,0.77063,0.53428,0.89053,0.85666,0.87633,0.000144486,0.000144486,0.000144486
112,7331.47,0.65788,0.44109,0.83153,0.81243,0.71596,0.76768,0.53589,0.89815,0.87277,0.87113,0.000143473,0.000143473,0.000143473
113,7396.86,0.66632,0.4499,0.83065,0.82984,0.7008,0.7631,0.53143,0.90082,0.88379,0.87752,0.000142459,0.000142459,0.000142459
114,7462,0.67054,0.45196,0.82814,0.82982,0.70784,0.76503,0.53042,0.91157,0.86508,0.87687,0.000141445,0.000141445,0.000141445
115,7527,0.65883,0.4409,0.83176,0.8023,0.72903,0.77003,0.53869,0.89706,0.86326,0.86972,0.000140431,0.000140431,0.000140431
116,7592.13,0.66896,0.44272,0.83042,0.80291,0.71421,0.76061,0.52896,0.89268,0.87331,0.87146,0.000139418,0.000139418,0.000139418
117,7657.12,0.65,0.43301,0.82971,0.82429,0.71329,0.77105,0.53807,0.88918,0.84283,0.8688,0.000138404,0.000138404,0.000138404
